jméno,četnost,věk,pohlaví,původ
Jiří,296090,49,m,řecký
Jan,293938,40,m,hebrejský
Petr,272135,42,m,řecký
Jana,264944,50,ž,hebrejský
Marie,260526,65,ž,hebrejský
Josef,211317,57,m,hebrejský
Pavel,200997,46,m,latinský
Martin,188380,33,m,latinský
Tomáš,181926,30,m,aramejský
Jaroslav,172785,55,m,slovanský
Eva,152463,53,ž,hebrejský
Miroslav,147753,52,m,slovanský
Hana,145901,51,ž,hebrejský
Anna,134819,51,ž,hebrejský
Zdeněk,126094,54,m,slovanský
Václav,123927,51,m,slovanský
Michal,123324,32,m,hebrejský
František,122910,58,m,italský
Lenka,118763,40,ž,neznámý
Kateřina,118127,29,ž,řecký
Lucie,111937,27,ž,latinský
Jakub,108013,19,m,hebrejský
Milan,107458,51,m,slovanský
Věra,107388,63,ž,slovanský
Alena,105093,55,ž,hebrejský
Karel,104072,55,m,straroněmecký
Lukáš,102982,23,m,latinský
Petra,102693,35,ž,řecký
David,101311,25,m,hebrejský
Veronika,88854,25,ž,řecký
Jaroslava,84556,63,ž,slovanský
Vladimír,83762,56,m,slovanský
Tereza,83692,18,ž,řecký
Martina,81312,36,ž,latinský
Michaela,78823,28,ž,hebrejský
Jitka,78187,51,ž,hebrejský
Ondřej,76225,22,m,řecký
Helena,74391,58,ž,řecký
Ludmila,72750,65,ž,slovanský
Ladislav,69797,55,m,slovanský
Zdeňka,69060,61,ž,slovanský
Ivana,68917,49,ž,slovanský
Roman,67754,40,m,latinský
Monika,63857,35,ž,řecký
Marek,63088,27,m,latinský
Stanislav,61889,54,m,slovanský
Eliška,61517,24,ž,hebrejský
Zuzana,61382,34,ž,hebrejský
Daniel,60935,23,m,hebrejský
Markéta,59734,32,ž,řecký
Jarmila,59666,65,ž,slovanský
Radek,58589,36,m,slovanský
Barbora,57201,22,ž,řecký
Jiřina,55366,64,ž,řecký
Antonín,53794,51,m,latinský
Marcela,53654,50,ž,latinský
Vojtěch,52802,22,m,slovanský
Kristýna,51422,18,ž,řecký
Dana,50781,51,ž,hebrejský
Dagmar,50646,55,ž,skandinávský
Filip,50464,17,m,řecký
Adam,47837,14,m,hebrejský
Adéla,45156,15,ž,germánský
Pavla,41774,43,ž,latinský
Vlasta,41736,68,ž,slovanský
Andrea,41151,31,ž,řecký
Miroslava,41151,54,ž,slovanský
Irena,41054,56,ž,řecký
Božena,39851,72,ž,slovanský
Klára,39600,22,ž,latinský
Libuše,39269,66,ž,slovanský
Marta,38897,63,ž,aramejský
Matěj,38519,13,m,hebrejský
Šárka,38339,37,ž,slovanský
Nikola,37996,19,ž,řecký
Karolína,36997,15,ž,německý
Iveta,36461,41,ž,německý
Pavlína,35863,37,ž,latinský
Natálie,33761,11,ž,řecký
Olga,33669,58,ž,skandinávský
Dominik,33322,14,m,latinský
Aleš,33074,38,m,řecký
Miloslav,32769,60,m,slovanský
Blanka,31516,54,ž,latinský
Gabriela,31175,33,ž,hebrejský
Jaromír,30984,55,m,slovanský
Patrik,30682,20,m,latinský
Renata,30617,44,ž,latinský
Libor,30464,44,m,latinský
Aneta,29840,17,ž,hebrejský
Simona,29618,30,ž,hebrejský
Růžena,28952,69,ž,slovanský
Radka,26939,38,ž,slovanský
Daniela,26536,38,ž,hebrejský
Denisa,26299,23,ž,řecký
Jindřich,26230,51,m,německý
Vlastimil,26014,54,m,slovanský
Iva,26003,46,ž,slovanský
Miloš,25509,53,m,slovanský
Zdenka,25416,68,ž,slovanský
